time,F1_ORIGINAL
7303.42,159.651
7303.52,178.244
7303.62,196.636
7303.72,214.814
7303.82,232.766
7303.92,250.479
7304.02,279.107
7304.12,297.024
7304.22,314.655
7304.32,331.989
7304.42,349.012
7304.52,365.715
7304.62,382.084
7304.72,398.109
7304.82,413.779
7304.92,429.084
7305.02,433.228
7305.12,447.416
7305.22,461.218
7305.32,474.623
7305.42,487.622
7305.52,500.208
7305.62,512.37
7305.72,524.1
7305.82,535.391
7305.92,546.235
7306.02,519.986
7306.12,529.26
7306.22,538.097
7306.32,546.489
7306.42,554.432
7306.52,561.92
7306.62,568.948
7306.72,575.511
7306.82,581.605
7306.92,587.225
7307.02,601.249
7307.12,605.981
7307.22,610.221
7307.32,613.966
7307.42,617.215
7307.52,619.965
7307.62,622.213
7307.72,623.959
7307.82,625.201
7307.92,625.939
7308.02,605.987
7308.12,605.723
7308.22,604.97
7308.32,603.729
7308.42,602
7308.52,599.786
7308.62,597.086
7308.72,593.903
7308.82,590.24
7308.92,586.099
7309.02,678.92
7309.12,672.978
7309.22,666.489
7309.32,659.457
7309.42,651.887
7309.52,643.784
7309.62,635.154
7309.72,626.003
7309.82,616.336
7309.92,606.161
7310.02,559.968
7310.12,549.464
7310.22,538.502
7310.32,527.09
7310.42,515.236
7310.52,502.948
7310.62,490.234
7310.72,477.104
7310.82,463.565
7310.92,449.628
7311.02,467.272
7311.12,451.486
7311.22,435.304
7311.32,418.737
7311.42,401.796
7311.52,384.492
7311.62,366.839
7311.72,348.846
7311.82,330.528
7311.92,311.897
7312.02,292.017
7312.12,272.859
7312.22,253.428
7312.32,233.736
7312.42,213.797
7312.52,193.625
7312.62,173.233
7312.72,152.636
7312.82,131.848
7312.92,110.883
7313.02,88.158
7313.12,67.2603
7313.22,46.2312
7313.32,25.0852
7313.42,3.8368
7313.52,0
7313.62,0
7313.72,0
7313.82,0
7313.92,0
7314.02,0
7314.12,0
7314.22,0
7314.32,0
7314.42,0
7314.52,0
7314.62,0
7314.72,0
7314.82,0
7314.92,0
7315.02,0
7315.12,0
7315.22,0
7315.32,0
7315.42,0
7315.52,0
7315.62,0
7315.72,0
7315.82,0
7315.92,0
7316.02,0
7316.12,0
7316.22,0
7316.32,0
7316.42,0
7316.52,0
7316.62,0
7316.72,0
7316.82,0
7316.92,0
7317.02,0
7317.12,0
7317.22,0
7317.32,0
7317.42,0
7317.52,0
7317.62,0
7317.72,0
7317.82,0
7317.92,0
7318.02,0
7318.12,0
7318.22,0
7318.32,0
7318.42,0
7318.52,0
7318.62,0
7318.72,0
7318.82,0
7318.92,0
7319.02,0
7319.12,0
7319.22,0
7319.32,0
7319.42,0
7319.52,0
7319.62,0
7319.72,0
7319.82,0
7319.92,0
7320.02,0
7320.12,0
7320.22,0
7320.32,0
7320.42,0
7320.52,0
7320.62,0
7320.72,0
7320.82,0
7320.92,0
7321.02,0
7321.12,0
7321.22,0
7321.32,0
7321.42,0
7321.52,0
7321.62,0
7321.72,0
7321.82,0
7321.92,0
7322.02,0
7322.12,0
7322.22,0
7322.32,0
7322.42,0
